Category,Count,Examples
US and International News,8,Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia
Log files and error reports,0,
"License, terms of use, copyright notices",18,Copyright; Copyright; license; license; license; terms of use
"Lists of named items (games, countries, etc.)",0,
Forum or Wiki entry,4,FAQ
Valid URLs,3,www.nytimes.com; www.washingtonpost.com
Named individuals (non-news samples only),41,Baker; Baker; Baker; CC; Cheryl; Clinton; Clinton; Clinton; Clinton; Clinton; Hillary; Huma; Huma; Huma; Huma; Huma; Huma; John; Kelly; Kenneth H; Marc; Patricia; Patty; Rice; Rice; Rice; Sally; Smith; Thu; William; William; al; anorexia nervosa; html lang; li; li; max; misc
"Promotional content (products, subscriptions, etc.)",0,
"High entropy (UUIDs, base64 data)",0,
"Contact info (address, email, phone, twitter, etc.)",2,@font; @font
Code,15,class ; class ; class ; class ; class ; class ; def ; function 
Configuration files,0,
Religious texts,2,God
Pseudonyms,0,
Donald Trump tweets and quotes,0,
"Web forms (menu items, instructions, etc.)",0,
Tech News,1,wired
"Lists of numbers (dates, sequences, etc.)",49,"0 0; 0 0; 0 400; 0 800; 00 2; 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31; 1,000; 1,600; 1,937; 100,000; 11 3; 12 2; 13 3; 15,000; 16 12; 18 10; 2,300; 2,5; 20,000; 2010 2; 2010 9; 2011 3; 2011 3; 2016 8; 25,000; 28 17; 29 2; 3 2; 30,000; 4 7; 400,000; 7 5; 8 11; 8 5; 9 3"
