Category,Count,Examples
US and International News,37,Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia; Russia
Log files and error reports,0,
"License, terms of use, copyright notices",0,
"Lists of named items (games, countries, etc.)",0,
Forum or Wiki entry,0,
Valid URLs,0,
Named individuals (non-news samples only),61,Congo; Congo; Congo; Earl; Earl; Earl; Email; Madison; Mariana; Princi; Princi; Princi; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Saint Helena; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Sri Lanka; Zell; Zell; Zell; lucy li
"Promotional content (products, subscriptions, etc.)",0,
"High entropy (UUIDs, base64 data)",0,
"Contact info (address, email, phone, twitter, etc.)",0,
Code,0,
Configuration files,0,
Religious texts,5,God; God; God; God; God
Pseudonyms,0,
Donald Trump tweets and quotes,0,
"Web forms (menu items, instructions, etc.)",0,
Tech News,0,
"Lists of numbers (dates, sequences, etc.)",23,"10 11 12 13 14 15; 10 11 12 13 14 15; 11 12 13 14 15; 11 12 13 14 15; 13 14 15 16; 13 14 15 16; 14 15 16 17 18 19; 14 15 16 17 18 19; 18 19 20 21 22 23; 18 19 20 21 22 23; 2 3 4 5; 2 3 4 5; 20 21 22 23; 20 21 22 23; 21 22 23; 21 22 23; 22 23 24 25 26 27 28; 22 23 24 25 26 27 28; 40,000; 7 8; 7 8; 8 9 10 11 12 13 14; 8 9 10 11 12 13 14"

Total Samples,299
